Si. No.,Unnamed: 1,States,Total Number of Village Panchayats & Equivalent,Gram Panchayat Development Plans Uploaded,Gram Panchayats Ported,Total Number of Block Panchayats & Equivalent,Block Panchayats Plan uploaded,Total Number of ZillaPanchayats& Equivalent,ZillaPanchayats Plan uploaded,Gram Panchayat on onboard,Gram Panchayat With Online Payment,Plans Uploaded,Total number(sum),Adoption percentage = (plans uploaded/ Total Panchayats)*100
1,Andhra Pradesh,Y,13371,13351,13073,660,660,13,13,0,0,,,
2,Arunachal Pradesh,Y,2108,1577,2034,0,0,25,0,3,0,,,
3,Assam,Y,2666,2119,2201,192,32,26,7,2174,855,,,
4,Bihar,Y,8135,8135,8135,534,533,38,37,8135,7863,,,
5,Chhattisgarh,Y,11658,11658,11657,146,146,27,26,11613,10836,,,
6,Goa,Y,191,191,191,0,0,2,1,177,26,,,
7,Gujarat,Y,14270,14042,14225,248,8,33,3,14210,11809,,,
8,Haryana,Y,6225,6154,6224,142,35,22,8,5861,3276,,,
9,Himachal Pradesh,Y,3615,3200,3611,81,76,12,11,3540,517,,,
10,Jammu and Kashmir,,4291,2016,0,275,2,20,0,0,0,,,
11,Jharkhand,Y,4351,4348,4351,263,263,24,24,4349,4345,,,
12,Karnataka,Y,5965,4865,5965,229,159,31,18,5965,5899,,,
13,Kerala,Y,941,941,941,152,152,14,14,941,606,,,
14,Ladakh,,193,193,0,31,0,2,0,0,0,,,
15,Madhya Pradesh,Y,22741,22695,22741,313,309,51,51,22689,21775,,,
16,Maharashtra,Y,27898,27875,27403,351,72,34,4,26678,15381,,,
17,Manipur,Y,3818,2631,161,0,0,6,6,161,152,,,
18,Meghalaya,Y,9015,0,0,0,0,0,0,0,0,,,
19,Mizoram,Y,834,834,834,0,0,0,0,834,828,,,
20,Nagaland,Y,1288,1195,662,0,0,0,0,5,0,,,
21,Odisha,Y,6798,6724,6798,314,313,30,30,6792,6635,,,
22,Punjab,Y,13248,13157,13248,151,143,22,20,12882,9879,,,
23,Rajasthan,Y,11307,11281,11234,352,331,33,25,10061,7774,,,
24,Sikkim,Y,185,161,185,0,0,4,4,172,102,,,
25,Tamil Nadu,Y,12525,12523,12496,388,381,37,30,11743,5874,,,
26,Telangana,Y,12769,12769,1,540,532,32,31,0,0,,,
27,Tripura,Y,1219,1178,1178,35,35,8,9,1178,1177,,,
28,Uttarakhand,Y,7791,7791,7789,95,95,13,13,7787,5846,,,
29,Uttar Pradesh,Y,58189,58189,58189,826,740,75,75,58189,57052,,,
30,West Bengal,Y,3341,3228,3229,344,333,22,21,3222,3170,,,
Total,Total,Total,270946,255021,238756,6662,5350,656,481,219361,181677,,,
